id	label	parent	source
cs201	Indefinite Pronoun	cs174	merged
cs202	Substantival	cs201	cheatsheet
cs203	Adjectival	cs201	cheatsheet
cs204	"Possessive ""Pronoun"""	cs174	cheatsheet
cs205	First Plural Constructions	cs174	cheatsheet
cs206	"Editorial ""We"" (Epistolary Plural)"	cs205	cheatsheet
cs207	"Inclusive ""We"""	cs205	cheatsheet
cs208	"Exclusive ""We"""	cs205	cheatsheet
cs209	Possessive Adjective	cs174	cheatsheet
cs210	Personal Pronoun in Genitive	cs209	cheatsheet
cs211	Intensive Pronoun (autós)	cs174	merged
cs212	As Identifying Adjective	cs211	cheatsheet
cs213	As Third Person Personal Pronoun	cs211	cheatsheet
cs214	Reflexive Pronoun	cs174	cheatsheet
cs215	Reciprocal Pronoun	cs174	merged
cs216	Number		merged
cs217	Neuter Plural Subject, Singular Verb	cs216	merged
cs218	Collective Singular Subject, Plural Verb	cs216	merged
cs219	Compound Subject, Singular Verb	cs216	cheatsheet
cs220	Indefinite Plural	cs216	merged
cs221	Categorical Plural	cs216	merged
cs222	Prepositions		merged
cs223	Person		merged
cs224	First for Third Person	cs223	merged
cs225	Second for Third Person	cs223	merged
cs226	Active Voice		merged
cs227	Simple Active	cs226	merged
cs228	Causative Active (Ergative)	cs226	merged
cs229	Stative Active	cs226	merged
cs230	Reflexive Active	cs226	merged
cs231	Middle Voice		merged
cs232	Direct Middle	cs231	merged
cs233	Redundant Middle	cs231	merged
cs234	Indirect Middle	cs231	merged
cs235	Causative Middle	cs231	merged
cs236	Permissive Middle	cs231	merged
cs237	Reciprocal Middle	cs231	merged
cs238	Deponent Middle	cs231	merged
cs239	Passive Voice		merged
cs240	Passive Constructions	cs239	merged
cs241	With & Without Agency Expressed: Ultimate Agent	cs240	merged
cs242	With & Without Agency Expressed: Intermediate Agent	cs240	merged
cs243	With & Without Agency Expressed: Impersonal Means	cs240	cheatsheet
cs244	With & Without Agency Expressed: No Expressed Agency	cs240	cheatsheet
cs245	With Accusative Object (Passive Uses)	cs240	merged
cs246	Simple Passive	cs239	merged
cs247	Causative/Permissive Passive	cs239	merged
cs248	Deponent Passive	cs239	merged
cs249	Indicative Mood		merged
cs250	Declarative Indicative	cs249	merged
cs251	Interrogative Indicative	cs249	merged
cs252	Conditional Indicative	cs249	merged
cs253	Potential Indicative	cs249	merged
cs254	Cohortative (Command, Volitive) Indicative	cs249	merged
cs255	Indicative with ὅτι	cs249	merged
cs256	Subject	cs255	cheatsheet
cs257	Direct Object	cs255	cheatsheet
cs258	Direct Object Proper	cs255	cheatsheet
cs259	Direct Discourse	cs255	cheatsheet
cs260	Indirect Discourse	cs255	cheatsheet
cs261	Apposition	cs255	cheatsheet
cs262	Epexegetical	cs255	cheatsheet
cs263	Causal	cs255	cheatsheet
cs264	Subjunctive Mood		merged
cs265	Deliberative Subjunctive	cs264	merged
cs266	Hortatory Subjunctive	cs264	merged
